Unit Number,VIN
061655 - Warners' Stellian - Lease,1HTEUMML5LH857655
061656 - Warners' Stellian - Lease,1HTEUMML7LH857656
082118 -  Idealease - Rental - Sleeper,3HSDZAPR9LN115118
082146 - Idealease - Rental - Sleeper,3HSDZAPR7LN059146
082151- Idealease - Rental - Sleeper,3HSDZAPR6LN106151
082285 - Rental Day Cab,3HCDZAPR2LL103285
082472 - Exile Lease,3HSDWTZR1LN303472
082744 - Idealease - Rental - Sleeper,3HSDZTZR2LN063744
161759 - Warners' Stellian - Lease,3HAEUMML6ML549759
182282 - Westwind,3HSDZAPR5MN292282
182283 - Westwind,3HSDZAPR7MN292283
182284 - Westwind,3HSDZAPR9MN292284
20-163 KEN FORGING,3HAEVTAR4LL862324
282272 - Idealease - Rental - LT - Sleeper,3HSDZAPR9NN311272
282563 Rental Sleeper 73 inch LT,3HSDZAPR8NN313563
282564,3AKJGLDR4HSHJ4699
282746 Rental Daycab LT,3HSDZAPR3NN085746
282849 Rental Sleeper LT,3HSDZAPRXNN448849
282850 Rental Sleeper LT,3HSDZAPR6NN448850
282851 Rental Sleeper LT,3HSDZAPR8NN448851
282852 Rental Sleeper LT,3HSDZAPRXNN448852
361395 - Warner Stellan,3HAEUMML4PL171395
40-249 CERNI RENTAL,3HSDZAPR0KN191972
40-250 CERNI RENTAL,3HSDZTZR9KN201052
40-252 CERNI RENTAL,3HSDZAPR2LN698311
40-258 PYROTECNICO,3HSDZAPR8KN325191
40-259 PYROTECNICO,3HSDZAPR2KN325509
40-313 CERNI RENTAL,3HSDZAPR6JN483477
40-317 ZIDIAN,3HSDZAPR4KN042450
40-318 ZIDIAN,3HSDZAPR6KN042451
40-319 ZIDIAN,3HSDZAPR8KN042452
40-320 ZIDIAN,3HSDZAPRXKN042453
40-321 ZIDIAN,3HSDZAPR1KN042454
40-323 ZIDIAN,3HSDZAPR5KN042456
40-324 CERNI RENTAL,3HCDZAPR3KL184523
40-325 CERNI RENTAL,3HCDZAPR1KL169955
40-327 CERNI RENTAL,3HCDZAPR9KL170044
40-333 CERNI RENTAL,3HSDWTZR4KN011233
40-334 HARRIS LEASING,3HSDWTZR6KN011234
40-335 Cedar Steel,3HSDJAPR9EN772172
40-338 HARRIS LEASING,3HCDZAPR6LL143790
682393 - Idealease - Rental- Daycab,3HSDJSNR1GN733393
782207,3HSDJAPR9HN746207
782284 rental sleeper,3HSDJAPR7HN433284
782318 - Idealease - Rental - Sleeper,3HSDJAPR2HN745318
782809 - Rental 2,3HSDJAPR1HN502809
782904 - Rental 3,3HSDJAPR6HN502904
882048  - Idealease - Rental - Day Cab,3HCDZAPR8JL170048
882062- Idealease- Rental LT TADC,3HSDZAPR1JN170062
982333 - Diamond Crystal,3HSDWTZR1KN231333
982745 Rental,3HSDZAPR3KN325745
982787 Rental,3HSDZAPR8KN325787
Bauer Built 061437,3HAEUMML4LL395437
Bituminous Transport # 3858,3HSDZAPR7MN313858
Bituminous Transport # 7828,3HSDZAPR9LN567828
Bituminous Transport # 8121,3HSDZAPR5LN568121
Bituminous Transport # 9804,3HSLGAPR5MN539804
Crustbuster # 2277,3HSDJAPR5HN432277
Daily Rental # 8074,3HSDTAPR9KN208074
"Kansas Athletics, Inc. # 9186",3HSLGAPR1PN649186
Merchants - LT - Lease - 182815,3HSDZTZR7MN308815
Merchants - LT Lease - 082493,3HSDZTZRXLN623493
Merchants - LT Lease - 982300,3HCDZTZR8KL007300
Merchants - LT Lease - 982301,3HCDZTZRXKL007301
Road Truck # 4898,3HSDZTZR1KN664898
982682,3HSDZAPR6KN286682
982872,3HSDZAPR3KN317872
